system_id,method,pes_calls,tot_time,success,termination_status,rmsd_init_saddle,barrier,mol_id,spin
28_doublets,cg_no,427,2442.793,True,GOOD,1.2532669599084791,-4.802213886179743,28,doublets
28_singlets,cg_no,273,1118.382,True,GOOD,0.3051095791806351,-1.3436764704219968,28,singlets
29_doublets,cg_no,415,2220.976,True,GOOD,0.8924956160139732,-8.683532696522889,29,doublets
29_singlets,cg_no,408,1613.882,True,GOOD,0.5873928009324225,-3.391949815231783,29,singlets
30_doublets,cg_no,264,1170.227,True,GOOD,0.359631313620592,-1.8303122870784136,30,doublets
30_singlets,cg_no,1551,6421.467,True,GOOD,3.421214113754093,-2.129044186676765,30,singlets
31_doublets,cg_no,287,1605.278,True,GOOD,1.3964753885997645,-3.665622053465995,31,doublets
31_singlets,cg_no,483,1958.41,True,GOOD,20.588395831201616,-1.626491987348345,31,singlets
32_doublets,cg_no,631,3517.369,True,GOOD,1.2789360307078446,-0.5873720048239193,32,doublets
32_singlets,cg_no,362,1404.766,True,GOOD,0.5275688688741643,-0.4178061206202983,32,singlets
33_doublets,cg_no,0,0.0,False,BAD_MAX_ITERATIONS,1.3642739944670024,,33,doublets
33_singlets,cg_no,0,0.0,False,not set,,,33,singlets
34_doublets,cg_no,2090,11808.595,True,GOOD,8.077271995697666,-2.438661884682915,34,doublets
34_singlets,cg_no,0,0.0,False,BAD_MAX_ITERATIONS,29.183278113075254,,34,singlets
35_doublets,cg_no,112,618.787,True,GOOD,0.0760661464508117,-0.3843163550245663,35,doublets
35_singlets,cg_no,188,669.528,True,GOOD,0.4050414422182435,-0.93815019622798,35,singlets
36_doublets,cg_no,125,617.748,True,GOOD,0.1646058826532617,-0.8525846693992207,36,doublets
36_singlets,cg_no,587,2531.456,True,GOOD,9.450291486848572,-2.3492645152382465,36,singlets
37_doublets,cg_no,140,818.877,True,GOOD,0.2042996759610346,-0.2242684754819492,37,doublets
37_singlets,cg_no,164,575.193,True,GOOD,0.3217170003684427,-1.9226694075669,37,singlets
38_doublets,cg_no,331,1721.793,True,GOOD,0.4580985099813425,-2.3035732300468226,38,doublets
38_singlets,cg_no,528,2221.237,True,GOOD,1.1458582844531506,-3.0452898357198137,38,singlets
39_doublets,cg_no,377,1752.507,True,GOOD,2.367497011235528,-1.3724798137582184,39,doublets
39_singlets,cg_no,190,688.843,True,GOOD,0.5301399535620114,-4.157358410871893,39,singlets
40_doublets,cg_no,293,1693.119,True,GOOD,0.2608168407004736,-0.3924840799136291,40,doublets
40_singlets,cg_no,317,1313.951,True,GOOD,1.1245354929429323,-8.393239140468722,40,singlets
41_doublets,cg_no,263,1224.002,True,GOOD,0.275328322397477,0.3830349718846264,41,doublets
41_singlets,cg_no,1393,5785.521,True,GOOD,17.42019550734254,-0.9158897732995684,41,singlets
42_doublets,cg_no,72,295.078,True,GOOD,0.2013914742874003,-1.6168620927373922,42,doublets
42_singlets,cg_no,354,1379.538,True,GOOD,0.5798302619071849,-3.2389801817098487,42,singlets
43_doublets,cg_no,190,972.737,True,GOOD,0.2488939972167128,0.160846806014888,43,doublets
43_singlets,cg_no,702,2660.459,True,GOOD,11.501440714117685,-0.8444941105144608,43,singlets
